LINE.DEPTH.CMD NUMBER 	COMBINED WALL-CLOCK TIME        	COMBINED CPU TIME               	COMMAND                             
<line>.<depth>.<cmd>: 	( time | cur depth % | total % )   	( time | cur depth % | total % )   	(count) <command>
______________________	________________________________	________________________________	____________________________________
12.0.0:                	( 0.006414s |  0.47% )            ( 0.012355s |  5.25% )             	(1x)	: | cat 0<&0 | cat | tee

12.0.1:                	( 0.005242s |  0.39% )            ( 0.011194s |  4.76% )             	(1x)	cat 0<&0 | cat | tee
12.0.2:                	( 0.004134s |  0.30% )            ( 0.010090s |  4.29% )             	(1x)	cat | tee
12.0.3:                	( 0.003001s |  0.22% )            ( 0.008962s |  3.81% )             	(1x)	tee

14.0.0:                	( 0.005652s |  0.42% )            ( 0.011806s |  5.02% )             	(1x)	printf '%s\n' {1..10} | << (SUBSHELL): 230425 >> | tee | cat
14.0.1:                	( 0.001598s |  0.11% )            ( 0.000206s |  0.08% )             	(1x)	<< (SUBSHELL) >> | tee | cat
├─ 14.1.0:          	( 0.001514s | 94.74% |  0.11% )   ( 0.000111s | 53.88% |  0.04% )    	(1x)	mapfile -t A 0<&0
└─ 14.1.1:          	( 0.000084s |  5.25% |  0.00% )   ( 0.000095s | 46.11% |  0.04% )    	(1x)	printf '%s%s\n' "${A[@]}"
14.0.2:                	( 0.004355s |  0.32% )            ( 0.010520s |  4.47% )             	(1x)	tee | cat
14.0.3:                	( 0.003219s |  0.24% )            ( 0.009388s |  3.99% )             	(1x)	cat (&)

16.0.0:                	( 0.000985s |  0.07% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 16.1.0:          	( 0.000074s |100.00% |  0.00% )   ( 0.000090s |100.00% |  0.03% )    	(1x)	echo

17.0.0:                	( 0.002790s |  0.20% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
├─ 17.1.0:          	( 0.000075s |  2.61% |  0.00% )   ( 0.000090s |100.00% |  0.03% )    	(1x)	echo B
│  17.1.1:            	( 0.002790s | 97.38% |  0.20% )   ( 0.000001s |  1.11% |  0.00% )    	(1x)	<< (BACKGROUND FORK) >>
└─ └─ 17.2.0:   	( 0.000915s |915.0000% |  0.06% )   ( 0.000951s |951.0000% |  0.40% )    	(1x)	echo A (&)

19.0.0:                	( 0.000069s |  0.00% )            ( 0.000084s |  0.03% )             	(1x)	echo 0

20.0.0:                	( 0.000610s |  0.04% )            ( 0.000445s |  0.18% )             	(1x)	echo 1

21.0.0:                	( 0.000075s |  0.00% )            ( 0.000090s |  0.03% )             	(1x)	<< (SUBSHELL) >>
└─ 21.1.0:          	( 0.000075s |100.00% |  0.00% )   ( 0.000090s |100.00% |  0.03% )    	(1x)	echo 2

22.0.0:                	( 0.000446s |  0.03% )            ( 0.000463s |  0.19% )             	(1x)	echo 3 (&)

23.0.0:                	( 0.000775s |  0.05% )            ( 0.000454s |  0.19% )             	(1x)	echo 4 (&)

24.0.0:                	( 0.000959s |  0.07% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 24.1.0:          	( 0.000073s |100.00% |  0.00% )   ( 0.000088s |100.00% |  0.03% )    	(1x)	echo 5

25.0.0:                	( 0.000603s |  0.04% )            ( 0.000649s |  0.27% )             	(1x)	<< (SUBSHELL) >>
└─ 25.1.0:          	( 0.000603s |100.00% |  0.04% )   ( 0.000649s |100.00% |  0.27% )    	(1x)	echo 6 (&)

26.0.0:                	( 0.001499s |  0.11% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 26.1.0:          	( 0.000121s |100.00% |  0.00% )   ( 0.000145s |100.00% |  0.06% )    	(1x)	echo 7

27.0.0:                	( 0.000073s |  0.00% )            ( 0.000089s |  0.03% )             	(1x)	<< (SUBSHELL) >>
└─ 27.1.0:          	( 0.000073s |100.00% |  0.00% )   ( 0.000089s |100.00% |  0.03% )    	(1x)	echo 8

28.0.0:                	( 0.001368s |  0.10% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
└─ 28.1.0:          	( 0.000487s |100.00% |  0.03% )   ( 0.000523s |100.00% |  0.22% )    	(1x)	echo 9 (&)

29.0.0:                	( 0.002362s |  0.17% )            ( 0.000001s |  0.00% )             	(1x)	<< (BACKGROUND FORK) >>
